,MoB,MoG,MoR,MeB,MeG,MeR,sdtB,stdG,stdR,MoB2,MoG2,MoR2,MeB2,MeG2,MeR2,sdtB2,stdG2,stdR2,hu1,hu2,hu3,hu4,hu5,hu6,hu7,Ncont,MinArea,MaxArea,ContConv,MinPer,MaxPeri,type,var2,var3,var
39,13.0,56.0,28.0,16.508047027977454,59.14614005302871,32.47075586733284,9.660293144365744,11.65052555960371,10.617942843024238,43.0,117.0,111.0,46.29762990559133,118.12032431835091,111.18361059999046,10.816988409530492,1.8379215816656225,2.803557071798056,0.002116839258892023,7.146070325458394e-07,2.0806083803335156e-09,2.744630895725237e-10,-2.048885150631009e-19,-1.066618366881082e-13,-3.22164735081621e-20,12.0,489.5,0.5,0.0,8.242640614509583,10495.25078356266,1.0,,,
40,12.0,42.0,21.0,14.402757829637972,43.25765420478073,25.43154577017159,9.353548465495171,12.719637558441859,11.769920669398894,33.0,121.0,115.0,34.625150460052424,121.40857048289354,116.55737858084986,11.716732887724325,1.736891175162661,3.5538360141817917,0.0022765443773381053,2.4046023374386134e-08,7.161342075415694e-11,6.368367920775717e-10,3.117388783425292e-20,-8.568259554574296e-14,1.3237912610883558e-19,38.0,5544.0,0.5,0.0,217.49747371673584,6148.5650334358215,1.0,,,
41,13.0,64.0,32.0,17.854077675181795,57.96261854876131,31.369248713867442,10.122596559310573,12.845056503652142,10.749407533688071,49.0,116.0,110.0,45.435817013520875,117.92932844030685,112.42724850680513,11.56207819222956,2.239729130207674,2.971123144405645,0.0019666816236327323,1.3723905476767802e-07,1.8308713145802605e-09,2.2813211036896658e-10,1.2544256105889015e-19,7.080745141713701e-14,7.747282257875001e-20,10.0,867.0,10.5,0.0,8.828427076339722,10935.279347538948,1.0,,,
42,14.0,51.0,26.0,16.090239870444172,51.777779237726236,28.67715913374323,9.660955586515469,13.066927744586563,11.457016803790998,40.0,118.0,109.0,40.79901683420944,119.32959294538306,114.03711179856434,11.640939447125787,2.1555661910143846,4.464269452141798,0.0017636683991172173,1.0069835777576527e-07,8.371270106403175e-10,1.8345872867692395e-10,-6.684459444892106e-20,-1.2625273279553629e-14,-2.6472622423078905e-20,3.0,2952.0,4.0,0.0,37.79898929595947,35169.710304260254,1.0,,,
43,19.0,79.0,46.0,21.393909951090816,81.46111382924835,47.78984654722614,10.528567919367003,11.55843797105753,12.753551750213015,63.0,115.0,103.0,64.53766905997209,116.03642342315864,103.67225661674323,11.383258519604812,2.1356779439196063,3.6073159204139027,0.0013681444756723803,3.435786665807235e-08,3.666637770066928e-11,6.468462928478109e-11,3.0542197422522958e-21,-9.485377018257067e-15,7.716141076986427e-22,18.0,1174.5,0.5,2.0,5.414213538169861,19897.558364272118,1.0,,,
44,18.0,71.0,39.0,22.9082481809076,76.67883359499461,46.871422730200855,12.95900936076334,12.677795563778036,14.191913941134008,55.0,115.0,104.0,61.650209650479674,117.43124994374604,106.16134922073797,12.797275145423182,2.180981533033187,3.4052443485228467,0.002093371766374907,2.3970251977043045e-07,3.4322757420643096e-10,7.195655066297976e-11,1.1068604907712104e-20,6.197438707874116e-15,2.3158591938316115e-21,20.0,154586.5,28.0,0.0,2.0,10713.237167954445,1.0,,,
45,15.0,54.0,26.0,16.7397360100092,52.730628204799,29.031540844778597,10.04936182035486,12.980809206497344,11.851713270316264,41.0,117.0,109.0,41.54203394663,119.05444760355635,113.99189807333528,11.752378651934526,2.070365274922388,4.502149140686362,0.0017641930744785252,1.2648216982197288e-07,8.254098564311428e-10,1.9172594872056593e-10,-5.914276620208178e-20,-5.389848534244727e-15,-4.8159225408643257e-20,6.0,8119.5,348.0,0.0,2.0,20889.014870762825,1.0,,,
46,8.0,37.0,17.0,10.531719599511213,39.91116928683118,21.2879093931101,8.936295695351612,10.271495554069798,10.130296113682748,28.0,120.0,115.0,30.983502912200613,121.06736449750866,116.41743278395127,9.788704455464147,1.5821667672260142,2.6008747343469776,0.0024344954500024477,1.439887581614116e-07,2.7536612126469813e-09,8.536426288493541e-10,-1.8344545025245108e-19,-2.594373111144453e-13,1.295868247299819e-18,15.0,1203.0,1.5,0.0,114.52691125869751,8562.177968263626,1.0,,,
47,22.0,91.0,51.0,30.350522581628063,94.69695886605544,58.66577647593791,14.108762383572435,13.987332178452752,16.474614069896877,71.0,113.0,102.0,76.5840955001886,115.22082092667964,101.91926219483122,14.080768789393643,3.185204022939595,5.2017966599518735,0.0012618405589435323,7.73458516820542e-08,1.0368963966867806e-10,1.3573261298431378e-11,-2.7509100541328927e-22,-3.3458090819147027e-15,4.285046887113163e-22,101.0,227302.5,0.5,7.0,2.0,16946.542657971382,1.0,,,
48,7.0,60.0,34.0,10.295036586495097,63.18861574997071,37.597437538465314,10.96209240400145,12.858114723690939,13.035555102260098,47.0,118.0,105.0,49.52227906008289,119.5285685709652,105.86927189728462,12.31177261467008,1.6585078439917473,4.04835972392,0.0013911406240809609,9.2441965318938e-09,3.5561848488748145e-10,6.11406340001489e-11,-9.014226350346823e-21,-1.3953111351117023e-15,1.4810549651088611e-22,2.0,1955443.0,1952830.5,0.0,19687.213459014893,19691.313962697983,1.0,,,
